"Chips"
"Fresh Tomato Salsa"
"Izze"
"Nantucket Nectar"
"Tomatillo-Green Chili Salsa"
"Chicken Bowl"
"Tomatillo-Red Chili Salsa (Hot)"
"Black Beans"
"Rice"
"Cheese"
"Sour Cream"
"Fresh Tomato Salsa (Mild)"
"Guacamole"
"Lettuce"
"Side of Chips"
"Steak Burrito"
"Tomatillo Red Chili Salsa"
"Fajita Vegetables"
"Pinto Beans"
"Steak Soft Tacos"
"Tomatillo Green Chili Salsa"
"Chicken Crispy Tacos"
"Roasted Chili Corn Salsa"
"Chicken Soft Tacos"
"Chicken Burrito"
"Tomatillo-Green Chili Salsa (Medium)"
"Canned Soda"
"Barbacoa Burrito"
"Roasted Chili Corn Salsa (Medium)"
"Fajita Veggies"
"Carnitas Burrito"
"Carnitas Bowl"
"Bottled Water"
"Barbacoa Bowl"
"Chicken Salad Bowl"
"Steak Bowl"
"Barbacoa Soft Tacos"
"Veggie Burrito"
"Veggie Bowl"
"Steak Crispy Tacos"
"Barbacoa Crispy Tacos"
"Veggie Salad Bowl"
"Roasted Chili-Corn Salsa"
"Carnitas Soft Tacos"
"Chicken Salad"
"Canned Soft Drink"
"Steak Salad Bowl"
"6 Pack Soft Drink"
"Tomatillo-Red Chili Salsa"
"Fresh Tomato (Mild)"
"Bowl"
"Braised Carnitas"
"Cilantro-Lime Rice"
"Burrito"
"Adobo-Marinated"
"Grilled Chicken"
"Salsa"
"Braised Barbacoa"
"Vegetarian Black Beans"
"Crispy Tacos"
"Grilled Steak"
"Carnitas Crispy Tacos"
"Steak Salad"
"Mild Fresh Tomato Salsa"
"Roasted Chili Corn (Medium)"
"Veggie Soft Tacos"
"White Rice"
"Carnitas Salad Bowl"
"Barbacoa Salad Bowl"
"Tomatillo Red Chili (Hot)"
"Salad"
"Brown Rice"
"Veggie Crispy Tacos"
"Veggie Salad"
"Tomatillo Green Chili (Medium)"
"Carnitas Salad"
